,"(0, 0)","(0, 1)"
27,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.30211293566181613}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1176.9866031965955}}"
28,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.604130645914382}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2563.7871113458073}}"
29,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.753129117337287}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7214.977199949807}}"
30,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6449525128940824}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4435.1136086118095}}"
31,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9240664649228625}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1391.5110688101645}}"
32,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8898429389886758}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2158.1413518074173}}"
33,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6482246389915346}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 308.67903513459026}}"
34,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3026859859611786}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4610.236000273932}}"
35,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6857677757038645}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1295.2485114564074}}"
36,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.28422729529849977}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6302.394939528899}}"
37,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.1351656541485437}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2278.5571315308666}}"
38,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5742180983935995}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5265.361779436282}}"
39,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.41496889931368386}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 634.4737002926292}}"
40,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5648010958121862}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4296.550814435175}}"
41,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8557999860951855}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4988.817844787374}}"
42,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.10575170819318297}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7882.011225537935}}"
43,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.36079944440474804}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4279.06530697215}}"
44,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9738855535489853}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 408.1432970226613}}"
45,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9227464662684237}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5239.895839693097}}"
46,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9689798235314415}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4707.8748858088875}}"
47,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.06044682108134858}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1393.5372181643852}}"
48,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8847203213412598}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7854.530512896537}}"
49,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.772274939841572}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4200.606236941302}}"
50,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2472192753942295}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5066.274149369664}}"
51,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.11277660279040821}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7926.9183995014155}}"
52,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.19443434809982948}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3862.528746287992}}"
53,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7551930629033231}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6258.04104912446}}"
54,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9533682536535026}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3308.577350225089}}"
55,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7926762037833995}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1094.2354096658387}}"
56,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.1947431552254343}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6855.969855297055}}"
57,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5169264688745809}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1817.2102521464305}}"
58,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.09063459700485747}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5430.061178427996}}"
59,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5280073765441554}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1294.9330566471654}}"
60,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.14252054638627357}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1215.1749836274057}}"
61,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2066382681084131}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1279.7295037840477}}"
62,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.11711335662758603}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5769.513956949196}}"
63,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6363979733356021}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7638.91940317415}}"
64,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9523991188185706}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2642.568632810564}}"
65,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5310962346692806}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4177.924365359853}}"
66,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.34344906616783627}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6570.947618582097}}"
67,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.513224860176712}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1111.3748146219486}}"
68,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9905652268435222}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1826.658651357751}}"
69,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6369311118682875}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7659.659709121357}}"
70,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.37107245108308134}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3729.024825431079}}"
71,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9759678439000616}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6967.926789487057}}"
72,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7846266609364794}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6630.4494055857485}}"
73,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.04840682000055959}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4538.472765493275}}"
74,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9855517247463886}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1885.0717620600374}}"
75,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.35855158457286357}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6230.22913564886}}"
76,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.28507375013341574}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1454.5702988168146}}"
77,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.32059078529050233}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7791.5251562543635}}"
78,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6437720057773788}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5888.3718292151925}}"
79,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4920288199318767}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3032.0137928456834}}"
80,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2787361999254234}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2023.5466900760362}}"
81,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9464508792719603}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7495.174250017507}}"
82,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4156835505663322}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2992.2288982948075}}"
83,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.27507457000574115}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6161.0666044993095}}"
84,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8647198441348959}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 264.84868982785747}}"
85,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.46671801164060966}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1156.0655319632663}}"
86,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7035908462464319}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4189.9666583072785}}"
87,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4593704598683495}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3017.0797253562173}}"
88,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7478448184172013}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7602.432251896144}}"
89,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.07090123487612691}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 412.0874826446531}}"
90,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.07608196328603584}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1932.168769617585}}"
91,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.30342681022383683}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1607.6415993286616}}"
92,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6161220637317665}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4939.8936840759}}"
93,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.02329818847834625}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3911.1750607314348}}"
94,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3884394325183522}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6633.123850235445}}"
95,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6828240447878774}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1269.8677731246933}}"
96,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9143899690786841}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1506.234411383201}}"
97,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2644579939524204}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6473.094648151715}}"
98,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.11267219724629633}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6061.216390553875}}"
99,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8355183760018761}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 917.0289932172052}}"
100,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5599767640334519}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4796.820023138995}}"
101,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.014993862119610247}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 223.05201932723799}}"
102,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.37103539280682607}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 557.8631832782886}}"
103,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7717693703080968}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6157.895678403006}}"
104,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2828711384875006}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7178.893160133387}}"
105,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2995534612586598}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5223.258675569177}}"
106,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.09442542618992403}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3462.9578757436147}}"
107,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.19578322253954908}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2835.790774752627}}"
108,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2699153648059884}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1832.31315420602}}"
109,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6485960355671003}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 364.24041849574326}}"
110,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.23484510607638753}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6723.340020310477}}"
111,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5188127578573247}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5267.905358495638}}"
112,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6981517634052332}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2680.290904215952}}"
113,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8789059288141373}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6386.399729387949}}"
114,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.808948956079089}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1753.5234444467214}}"
115,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.901546034509239}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2869.2416715323616}}"
116,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8587681891787272}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7444.322524615288}}"
117,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4433975353000918}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4859.732533419812}}"
118,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5932957546130336}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7162.758358088955}}"
119,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7873981768402036}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3631.895396365466}}"
120,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5583769485883572}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5226.167966285678}}"
121,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.6246941457460569}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4684.214052954036}}"
122,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5778325639797308}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6045.904320128395}}"
123,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7388969966876797}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 478.79820394971296}}"
124,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9881978515647913}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4102.125426616007}}"
125,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.1415353819958201}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6710.408388584155}}"
126,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.12231756308990341}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1401.4032729127682}}"
127,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.7045864285051856}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3727.739063069532}}"
128,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.06783415534911273}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7533.122093666723}}"
129,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5639415136685823}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6291.186263685104}}"
130,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4907346797811001}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 645.973489389707}}"
131,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.10486845244974177}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 669.9635731258712}}"
132,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8024614996259286}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3485.213855936594}}"
133,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.06970323481895144}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1724.208948344914}}"
134,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5645991605642673}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4865.069118499584}}"
135,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4355453860586132}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7235.410869481501}}"
136,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.27251183229115206}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 4828.088923587044}}"
137,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.4978125542303435}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6208.2670153025465}}"
138,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.07970554153149692}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 543.4092920969331}}"
139,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.09526328739036773}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6349.392831486191}}"
140,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2506293696264306}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1129.5322310989961}}"
141,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9392433180738644}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5359.132612219589}}"
142,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.3764284436174363}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7706.1884954564775}}"
143,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.19702857539542887}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2942.1955200881307}}"
144,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8049240319522654}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 1615.1355742306928}}"
145,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.15356083114511537}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 3499.9809805637374}}"
146,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8698187764594836}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6919.12757039915}}"
147,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.29997520112340836}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7246.637775266791}}"
148,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.06262097470550063}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6542.051439086197}}"
149,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.5730447768387159}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 284.0505958185166}}"
150,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.2237653846721991}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 2448.2464201763}}"
151,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.1823553075432998}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7287.872971146581}}"
152,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.29984124091692593}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5529.01057591367}}"
153,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.968028213301938}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6818.85820319719}}"
154,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.18898737051061532}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7051.057288911204}}"
155,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.09196323567473684}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 5637.626592338868}}"
156,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8613535947620848}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 7450.051244205644}}"
157,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9358017771584692}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6917.585596554997}}"
158,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.8946590733316521}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 6978.086578889609}}"
159,"{'operation': 'osc_saw_fixedfreq', 'parameters': {'amp': 0.9431546214391029}}","{'operation': 'lowpass_filter', 'parameters': {'filter_freq': 285.4420649352289}}"
